Bedrooms,Bathrooms,Location,Price
1,2.0,Westlands,13377000
0,1.0,Westlands,7992400
2,2.0,Kilimani,8600000
2,3.0,Westlands,12200000
3,3.0,Riverside,6500000
2,2.0,Westlands,16000000
3,2.0,Lavington,13800000
3,3.0,Kileleshwa,33000000
3,4.0,Westlands,15500000
3,3.0,Kilimani,13900000
2,2.0,Kileleshwa,9000000
2,2.0,Westlands,21500000
3,3.0,Kileleshwa,16125000
3,4.0,Westlands,20900000
2,2.0,Kileleshwa,9800000
1,1.0,Westlands,7700000
2,2.0,Riverside,32000000
2,2.0,Riverside,13500000000
4,4.0,Kileleshwa,23500000
3,3.0,Parklands,23100000
0,1.0,Mombasa Road,7893600
1,1.0,Lavington,7000000
3,3.0,Westlands,32000000
1,2.0,Westlands,9900000
2,2.0,Westlands,15500000
2,2.0,Westlands,25000000
3,3.0,Westlands,21500000
3,3.0,Westlands,15100000
4,4.0,Kilimani,19880000
1,1.0,Westlands,8000000
1,1.0,Westlands,7500000
1,1.0,Westlands,7000000
2,2.0,Westlands,10000000
1,1.0,Westlands,6500000
1,1.0,Westlands,7800000
1,1.0,Westlands,9100000
1,1.0,Kileleshwa,6000000
1,1.0,Kilimani,5200000
3,3.0,Kileleshwa,12500000
5,3.0,Parklands,20000000
1,2.0,Riverside,20000000
2,2.0,Riverside,37000000
3,4.0,Riverside,58000000
4,4.0,Riverside,137000000
3,4.0,Riverside,45000000
1,1.0,Kilimani,7450000
2,2.0,Kilimani,10500000
3,3.0,Kilimani,14150000
2,2.0,Thika,22000000
2,2.0,Kilimani,14500000
3,2.0,Lavington,24000000
3,3.0,Parklands,22000000
5,5.0,Kilimani,33500000
3,3.0,Riverside,20500000
3,3.0,Parklands,40000000
1,1.0,Riverside,12800000
4,4.0,Parklands,19000000
3,3.0,Westlands,32000000
3,4.0,Kilimani,18000000
4,4.0,Lavington,20000000
1,1.0,Kileleshwa,4800000
1,1.0,Riara,4500000
2,2.0,Mombasa Road,6000000
2,4.0,Westlands,14650000
2,3.0,Kileleshwa,12500000
1,1.0,Thika,8300000
2,3.0,Westlands,11300000
2,2.0,Kilimani,1500000000
2,3.0,Riverside,25900000
3,3.0,Kilimani,20000000
3,3.0,Roysambu,5200000
2,2.0,Riverside,13500000
1,1.0,Kileleshwa,8300000
1,1.0,Westlands,9100000
2,2.0,Kilimani,12700000
3,2.0,Embakasi,7000000
3,3.0,Lavington,19000000
3,2.0,Kilimani,13500000
3,4.0,Kileleshwa,23500000
3,3.0,Kileleshwa,16500000
2,2.0,Kilimani,11000000
1,1.0,Kilimani,6500000
2,2.0,Westlands,11700000
2,2.0,Westlands,14150000
2,2.0,Kilimani,11000000
1,1.0,Lavington,6500000
3,2.0,Kilimani,12800000
2,2.0,Lavington,11000000
2,2.0,Westlands,12000000
2,2.0,Lavington,17000000
2,2.0,Westlands,11500000
1,1.0,Westlands,6900000
1,1.0,Kilimani,5500000
3,4.0,Westlands,25000000
2,3.0,Westlands,28000000
3,3.0,Westlands,27000000
4,4.0,Westlands,30000000
2,2.0,Lavington,18000000
2,2.0,Westlands,22400000
3,3.0,Kileleshwa,15000000
0,1.0,Kileleshwa,8500000
2,2.0,Kileleshwa,16500000
3,4.0,Westlands,27000000
3,3.0,Westlands,23000000
2,2.0,Westlands,30400000
3,2.0,Embakasi,7500000
1,1.0,Kilimani,14000000
4,3.0,Kilimani,25000000
3,1.0,Riara,9500000
4,4.0,Kileleshwa,22000000
3,4.0,Lavington,16500000
4,3.0,Lavington,18000000
1,1.0,Kilimani,6000000
2,1.0,Embakasi,25000000
2,3.0,Kilimani,12800000
3,3.0,Riverside,28000000
1,1.0,Westlands,8000000
1,1.0,Kilimani,4800000
3,3.0,Kileleshwa,22500000
2,2.0,Westlands,12300000
2,1.0,Westlands,11500000
4,4.0,Riara,16000000
3,3.0,Kilimani,17000000
4,4.0,Parklands,40000000
0,1.0,Lavington,4690000
3,4.0,Westlands,27000000
4,6.0,Kileleshwa,32000000
2,1.0,Kileleshwa,11500000
1,2.0,Dagoretti,2300000
1,2.0,Westlands,6450000
1,2.0,Kilimani,6800000
1,2.0,Riverside,15000000
2,3.0,Westlands,25900000
3,3.0,Kileleshwa,25000000
3,3.0,Westlands,38000000
1,1.0,Westlands,6400000
0,1.0,Westlands,8000000
3,4.0,Westlands,18200000
2,2.0,Kileleshwa,13000000
2,2.0,Kilimani,11000000
1,1.0,Westlands,8800000
2,3.0,Kileleshwa,14500000
3,4.0,Kileleshwa,16700000
3,4.0,Kileleshwa,20000000
1,1.0,Westlands,9000000
4,4.0,Westlands,74000000
3,3.0,Lavington,22000000
2,1.0,Mombasa Road,4500000
2,1.0,Mombasa Road,5500000
4,5.0,Westlands,55000000
4,5.0,Westlands,31000000
2,2.0,Kilimani,8600000
1,1.0,Westlands,11089000
2,3.0,Westlands,17000000
4,4.0,Westlands,52000000
4,4.0,Parklands,26000000
3,3.0,Parklands,23000000
3,4.0,Kilimani,22000000
3,2.0,Embakasi,7800000
4,5.0,Kileleshwa,56000000
4,4.0,Kileleshwa,48000000
1,1.0,Westlands,9200000
3,4.0,Kileleshwa,30000000
4,4.0,Kileleshwa,25000000
4,3.0,Kilimani,14600000
2,2.0,Kileleshwa,10800000
1,1.0,Westlands,9000000
6,8.0,Kileleshwa,98000000
5,7.0,Kileleshwa,64000000
5,7.0,Kileleshwa,48000000
3,3.0,Parklands,43000000
4,6.0,Kileleshwa,81000000
1,1.0,Lavington,8000000
3,5.0,Kileleshwa,35000000
3,5.0,Kileleshwa,27000000
4,4.0,Kileleshwa,29000000
1,1.0,Westlands,8450000
2,2.0,Parklands,12000000
1,1.0,Kileleshwa,3800000
2,2.0,Thika,8000000
1,1.0,Thika,5500000
1,2.0,Thika,9700000
2,2.0,Thika,15000000
3,4.0,Lavington,25000000
2,3.0,Lavington,18000000
3,5.0,Kileleshwa,27000000
2,3.0,Kileleshwa,16500000
4,6.0,Kileleshwa,81000000
2,3.0,Westlands,13550000
3,2.0,Kilimani,12600000
2,2.0,Riara,6400000
2,2.0,Westlands,11700000
4,4.0,Westlands,64000000
3,3.0,Westlands,30000000
4,4.0,Westlands,35000000
3,3.0,Kileleshwa,18000000
1,1.0,Westlands,7700000
2,2.0,Kilimani,11800000
3,3.0,Kilimani,11500000
2,2.0,Lavington,17930000
1,1.0,Lavington,7720000
2,2.0,Kilimani,11000000
1,1.0,Westlands,7890000
3,3.0,Westlands,35500000
2,2.0,Westlands,10950000
0,1.0,Westlands,6500000
0,1.0,Mombasa Road,7780000
3,2.0,Kiambu,8700000
2,2.0,Lavington,11000000
2,1.0,Westlands,21500000
1,2.0,Kilimani,7500000
2,3.0,Westlands,15000000
3,2.0,Westlands,15500000
2,2.0,Lavington,20000000
3,2.0,Parklands,18000000
2,4.0,Westlands,10000000
4,2.0,Westlands,27000000
2,3.0,Kilimani,12000000
3,1.0,Riverside,27000000
1,4.0,Kileleshwa,4100000
3,4.0,Riverside,38000000
3,1.0,Kileleshwa,19500000
